FID	X	Y	GMT date_H	GMT date	Y	M	D	H	DOP	IDbear	IDsquare_025ha	IDsquare_100ha	IDsquare_900ha
1092948	1431437.41	6819660.88	2012-05-04 13:00	2012-05-04	2012	5	4	13	3,8	W1203	16230	4075	454
1092949	1431417.13	6819654.26	2012-05-04 14:00	2012-05-04	2012	5	4	14	3,8	W1203	16230	4075	454
1092950	1431419.1	6819656.17	2012-05-04 15:00	2012-05-04	2012	5	4	15	2,4	W1203	16230	4075	454
1092951	1431525.37	6819931.29	2012-05-04 16:00	2012-05-04	2012	5	4	16	2	W1203	16433	4076	454
1092952	1431525.15	6819926.82	2012-05-04 17:00	2012-05-04	2012	5	4	17	3,2	W1203	16433	4076	454
1092953	1431529.02	6820022.85	2012-05-04 18:00	2012-05-04	2012	5	4	18	4,6	W1203	16433	4076	454
1092954	1431523.38	6820016.82	2012-05-04 19:00	2012-05-04	2012	5	4	19	2	W1203	16433	4076	454
1092955	1431525.8	6820041.16	2012-05-04 20:00	2012-05-04	2012	5	4	20	6,6	W1203	16433	4076	454
1092956	1431529.8	6820034.84	2012-05-04 21:00	2012-05-04	2012	5	4	21	2	W1203	16433	4076	454
1092957	1431531.65	6820030.55	2012-05-04 22:00	2012-05-04	2012	5	4	22	2,8	W1203	16433	4076	454
1092958	1431530.46	6820032.33	2012-05-04 23:00	2012-05-04	2012	5	4	23	4,2	W1203	16433	4076	454
1092959	1431532.99	6820035.26	2012-05-05 00:00	2012-05-05	2012	5	5	0	2,8	W1203	16433	4076	454
1092960	1431529.03	6820032.59	2012-05-05 01:00	2012-05-05	2012	5	5	1	2,6	W1203	16433	4076	454
1092961	1431529.63	6820029.98	2012-05-05 02:00	2012-05-05	2012	5	5	2	2,6	W1203	16433	4076	454
1092962	1431532.67	6820033.17	2012-05-05 03:00	2012-05-05	2012	5	5	3	3,8	W1203	16433	4076	454
1092963	1431531.23	6820031.32	2012-05-05 04:00	2012-05-05	2012	5	5	4	3,8	W1203	16433	4076	454
1092964	1431525.47	6820035.82	2012-05-05 05:00	2012-05-05	2012	5	5	5	5,8	W1203	16433	4076	454
1092965	1431533.45	6820034.76	2012-05-05 06:00	2012-05-05	2012	5	5	6	2	W1203	16433	4076	454
1092966	1431531.46	6820033.99	2012-05-05 07:00	2012-05-05	2012	5	5	7	2,4	W1203	16433	4076	454
1092967	1431448.3	6819981.95	2012-05-05 08:00	2012-05-05	2012	5	5	8	4,4	W1203	16432	4075	454
1092968	1431528.57	6820032.61	2012-05-05 09:00	2012-05-05	2012	5	5	9	2	W1203	16433	4076	454
1092969	1431527.28	6820029.14	2012-05-05 10:00	2012-05-05	2012	5	5	10	1,8	W1203	16433	4076	454
1092970	1431529.53	6820032.37	2012-05-05 11:00	2012-05-05	2012	5	5	11	3	W1203	16433	4076	454
1092971	1431530.97	6820030.96	2012-05-05 12:00	2012-05-05	2012	5	5	12	2,4	W1203	16433	4076	454
1092972	1431528.29	6820040.54	2012-05-05 13:00	2012-05-05	2012	5	5	13	2	W1203	16433	4076	454
1092973	1431518.64	6820041.98	2012-05-05 14:00	2012-05-05	2012	5	5	14	3,6	W1203	16433	4076	454
1092974	1431683.9	6820174.38	2012-05-05 15:00	2012-05-05	2012	5	5	15	2,8	W1203	16433	4076	454
1092975	1431724.99	6820161.05	2012-05-05 16:00	2012-05-05	2012	5	5	16	3,4	W1203	16433	4076	454
1092976	1431726.59	6820152.96	2012-05-05 17:00	2012-05-05	2012	5	5	17	2,8	W1203	16433	4076	454
1092977	1431736.25	6820153.8	2012-05-05 18:00	2012-05-05	2012	5	5	18	3,2	W1203	16433	4076	454
1092978	1431668.19	6820142.62	2012-05-05 19:00	2012-05-05	2012	5	5	19	2,8	W1203	16433	4076	454
1092979	1431706.37	6820111.01	2012-05-05 20:00	2012-05-05	2012	5	5	20	5,4	W1203	16433	4076	454
1092980	1431714.85	6820111.83	2012-05-05 21:00	2012-05-05	2012	5	5	21	2	W1203	16433	4076	454
1092981	1431729.95	6820148.96	2012-05-05 22:00	2012-05-05	2012	5	5	22	3,4	W1203	16433	4076	454
1092982	1431728.86	6820153.41	2012-05-05 23:00	2012-05-05	2012	5	5	23	4,4	W1203	16433	4076	454
1092983	1431730.34	6820153.91	2012-05-06 00:00	2012-05-06	2012	5	6	0	8	W1203	16433	4076	454
